"Topic","Talk","Speaker","Date","URL"
"adversity","Yielding Our Hearts to God","Neill F. Marriott","October 2015","https://www.lds.org/general-conference/2015/10/yielding-our-hearts-to-god?lang=eng"
"adversity","Tested and Tempted—but Helped","Hugo Montoya","October 2015","https://www.lds.org/general-conference/2015/10/tested-and-tempted-but-helped?lang=eng"
"adversity","Worthy of Our Promised Blessings","Linda S. Reeves","October 2015","https://www.lds.org/general-conference/2015/10/worthy-of-our-promised-blessings?lang=eng"
"adversity","Turn to Him and Answers Will Come","James B. Martino","October 2015","https://www.lds.org/general-conference/2015/10/turn-to-him-and-answers-will-come?lang=eng"
"adversity","Hold on Thy Way","Koichi Aoyagi","October 2015","https://www.lds.org/general-conference/2015/10/hold-on-thy-way?lang=eng"
"adversity","Eyes to See and Ears to Hear","Kim B. Clark","October 2015","https://www.lds.org/general-conference/2015/10/eyes-to-see-and-ears-to-hear?lang=eng"
"adversity","The Joy of Living a Christ-Centered Life","Richard J. Maynes","October 2015","https://www.lds.org/general-conference/2015/10/the-joy-of-living-a-christ-centered-life?lang=eng"
"adversity","The Pleasing Word of God","Francisco J. Viñas","October 2015","https://www.lds.org/general-conference/2015/10/the-pleasing-word-of-god?lang=eng"
"adversity","A Summer with Great-Aunt Rose","Dieter F. Uchtdorf","October 2015","https://www.lds.org/general-conference/2015/10/a-summer-with-great-aunt-rose?lang=eng"
"adversity","The Eternal Perspective of the Gospel","Rafael E. Pino","April 2015","https://www.lds.org/general-conference/2015/04/the-eternal-perspective-of-the-gospel?lang=eng"
"adversity","The Family Is of God","Carole M. Stephens","April 2015","https://www.lds.org/general-conference/2015/04/the-family-is-of-god?lang=eng"
"adversity","Choose to Believe","L. Whitney Clayton","April 2015","https://www.lds.org/general-conference/2015/04/choose-to-believe?lang=eng"
"agency","Turn to the Lord","W. Christopher Waddell","October 2017","https://www.lds.org/general-conference/2017/10/turn-to-the-lord?lang=eng"
"agency","Our Father’s Glorious Plan","Weatherford T. Clayton","April 2017","https://www.lds.org/general-conference/2017/04/our-fathers-glorious-plan?lang=eng"
"agency","Fourth Floor, Last Door","Dieter F. Uchtdorf","October 2016","https://www.lds.org/general-conference/2016/10/fourth-floor-last-door?lang=eng"
"agency","Choices","Thomas S. Monson","April 2016","https://www.lds.org/general-conference/2016/04/choices?lang=eng"
"agency","Opposition in All Things","Dallin H. Oaks","April 2016","https://www.lds.org/general-conference/2016/04/opposition-in-all-things?lang=eng"
"agency","The Holy Ghost","Robert D. Hales","April 2016","https://www.lds.org/general-conference/2016/04/the-holy-ghost?lang=eng"
"agency","Shipshape and Bristol Fashion: Be Temple Worthy—in Good Times and Bad Times","Quentin L. Cook","October 2015","https://www.lds.org/general-conference/2015/10/shipshape-and-bristol-fashion-be-temple-worthy-in-good-times-and-bad-times?lang=eng"
"agency","Choose to Believe","L. Whitney Clayton","April 2015","https://www.lds.org/general-conference/2015/04/choose-to-believe?lang=eng"
"agency","Yes, We Can and Will Win!","Ulisses Soares","April 2015","https://www.lds.org/general-conference/2015/04/yes-we-can-and-will-win?lang=eng"
"agency","Preserving Agency, Protecting Religious Freedom","Robert D. Hales","April 2015","https://www.lds.org/general-conference/2015/04/preserving-agency-protecting-religious-freedom?lang=eng"
"agency","Ponder the Path of Thy Feet","Thomas S. Monson","October 2014","https://www.lds.org/general-conference/2014/10/ponder-the-path-of-thy-feet?lang=eng"
"agency","Trifle Not with Sacred Things","Larry S. Kacher","October 2014","https://www.lds.org/general-conference/2014/10/trifle-not-with-sacred-things?lang=eng"
"agency","The Lord Has a Plan for Us!","Carlos A. Godoy","October 2014","https://www.lds.org/general-conference/2014/10/the-lord-has-a-plan-for-us?lang=eng"
"agency","Choose Wisely","Quentin L. Cook","October 2014","https://www.lds.org/general-conference/2014/10/choose-wisely?lang=eng"
"agency","Free Forever, to Act for Themselves","D. Todd Christofferson","October 2014","https://www.lds.org/general-conference/2014/10/free-forever-to-act-for-themselves?lang=eng"
"agency","Obedience through Our Faithfulness","L. Tom Perry","April 2014","https://www.lds.org/general-conference/2014/04/obedience-through-our-faithfulness?lang=eng"
"agency","“If Ye Love Me, Keep My Commandments”","Robert D. Hales","April 2014","https://www.lds.org/general-conference/2014/04/if-ye-love-me-keep-my-commandments?lang=eng"
"agency","The Choice Generation","Randall L. Ridd","April 2014","https://www.lds.org/general-conference/2014/04/the-choice-generation?lang=eng"
